,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,recent_px,intrinsic_value,option_px,extrinsic_value,yield
0,TQQQ210618C00010000,2021-06-11 16:08:57,10.0,98.41,100.15,100.85,0.0,0.0,1.0,5,11.679690200195312,True,REGULAR,USD,110.1709976196289,100.1709976196289,100.5,0.32900238037109375,0.002986288474095438
1,TQQQ210618C00012500,2021-05-18 15:41:37,12.5,82.89,97.8,98.05,0.0,0.0,9.0,22,10.093753691406253,True,REGULAR,USD,110.1709976196289,97.6709976196289,97.925,0.2540023803710909,0.0023055285497917276
2,TQQQ210618C00015000,2021-05-13 14:31:13,15.0,77.0,88.25,92.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,110.1709976196289,95.1709976196289,90.125,0.0,0.0
3,TQQQ210618C00017500,2021-06-08 15:09:56,17.5,87.74,92.8,93.05,0.0,0.0,,58,8.492192192382811,True,REGULAR,USD,110.1709976196289,92.6709976196289,92.925,0.2540023803710909,0.0023055285497917276
4,TQQQ210618C00020000,2021-05-20 17:43:01,20.0,78.2,90.3,90.55,0.0,0.0,4.0,45,7.87500015625,True,REGULAR,USD,110.1709976196289,90.1709976196289,90.425,0.2540023803710909,0.0023055285497917276
5,TQQQ210618C00022500,2021-06-14 14:15:42,22.5,86.95,87.8,88.0,0.0,0.0,20.0,174,7.2187509765625,True,REGULAR,USD,110.1709976196289,87.6709976196289,87.9,0.22900238037109943,0.00207860857502391
6,TQQQ210618C00025000,2021-04-26 19:37:26,25.0,86.0,77.2,78.1,0.0,0.0,1.0,110,1.0000000000000003e-05,True,REGULAR,USD,110.1709976196289,85.1709976196289,77.65,0.0,0.0
7,TQQQ210618C00027500,2021-06-03 15:22:00,27.5,72.3,82.75,83.0,0.0,0.0,1.0,122,6.2187522265625,True,REGULAR,USD,110.1709976196289,82.6709976196289,82.875,0.20400238037109375,0.0018516886002559636
8,TQQQ210618C00030000,2021-06-14 13:50:00,30.0,80.25,80.3,80.5,0.0,0.0,40.0,128,5.945315068359376,True,REGULAR,USD,110.1709976196289,80.1709976196289,80.4,0.22900238037109943,0.00207860857502391
9,TQQQ210618C00032500,2021-06-14 13:33:45,32.5,76.45,78.9,80.1,13.699997,21.832664,35.0,976,8.376957889404295,True,REGULAR,USD,110.1709976196289,77.6709976196289,79.5,1.8290023803710938,0.01660148696016913
10,TQQQ210618C00035000,2021-06-14 16:04:36,35.0,75.3,75.25,75.55,0.0,0.0,2.0,169,5.273440908203124,True,REGULAR,USD,110.1709976196289,75.1709976196289,75.4,0.22900238037109943,0.00207860857502391
11,TQQQ210618C00035500,2021-06-08 15:43:15,35.5,68.8,74.7,75.05,0.0,0.0,1.0,10,5.12500359375,True,REGULAR,USD,110.1709976196289,74.6709976196289,74.875,0.20400238037109375,0.0018516886002559636
12,TQQQ210618C00036000,2021-01-25 05:00:52,36.0,13.12,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,110.1709976196289,74.1709976196289,0.0,0.0,0.0
13,TQQQ210618C00036500,2021-01-25 05:00:52,36.5,17.04,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,110.1709976196289,73.6709976196289,0.0,0.0,0.0
14,TQQQ210618C00037000,2021-06-04 13:38:11,37.0,64.7,72.7,74.1,0.0,0.0,1.0,4,5.0312537109374995,True,REGULAR,USD,110.1709976196289,73.1709976196289,73.4,0.22900238037109943,0.00207860857502391
15,TQQQ210618C00037500,2021-06-14 19:54:50,37.5,74.35,72.8,73.05,0.0,0.0,31.0,184,5.054691181640624,True,REGULAR,USD,110.1709976196289,72.6709976196289,72.925,0.2540023803710909,0.0023055285497917276
16,TQQQ210618C00038000,2021-04-27 13:30:01,38.0,73.38,0.0,0.0,0.0,0.0,1.0,23,1.0000000000000003e-05,True,REGULAR,USD,110.1709976196289,72.1709976196289,0.0,0.0,0.0
17,TQQQ210618C00038500,2021-04-27 16:01:00,38.5,71.75,62.3,63.95,0.0,0.0,4.0,22,1.0000000000000003e-05,True,REGULAR,USD,110.1709976196289,71.6709976196289,63.125,0.0,0.0
18,TQQQ210618C00039000,2021-06-01 14:51:08,39.0,61.9,71.15,71.55,0.0,0.0,,0,4.632816708984375,True,REGULAR,USD,110.1709976196289,71.1709976196289,71.35,0.17900238037108807,0.0016247686254880172
19,TQQQ210618C00039500,2021-05-13 19:13:32,39.5,51.2,68.3,70.3,0.0,0.0,4.0,9,1.0000000000000003e-05,True,REGULAR,USD,110.1709976196289,70.6709976196289,69.3,0.0,0.0
20,TQQQ210618C00040000,2021-06-04 14:39:05,40.0,63.08,70.25,70.55,0.0,0.0,27.0,115,4.6953166308593755,True,REGULAR,USD,110.1709976196289,70.1709976196289,70.4,0.22900238037109943,0.00207860857502391
21,TQQQ210618C00040500,2021-04-08 15:02:12,40.5,64.15,62.85,64.3,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,110.1709976196289,69.6709976196289,63.575,0.0,0.0
22,TQQQ210618C00041000,2021-05-04 13:53:57,41.0,59.75,56.85,58.9,0.0,0.0,3.0,1,1.0000000000000003e-05,True,REGULAR,USD,110.1709976196289,69.1709976196289,57.875,0.0,0.0
23,TQQQ210618C00041500,2021-05-19 14:50:30,41.5,48.8,68.7,69.45,0.0,0.0,10.0,4,4.972660034179686,True,REGULAR,USD,110.1709976196289,68.6709976196289,69.075,0.4040023803710966,0.0036670483983991487
