,strike,delta_calc,yield,converted_expiration,weekly_yield,jjj
0,100.0,1.0,0.0,2021-12-03,0.0,0.0
1,105.0,1.0,0.0,2021-12-03,0.0,0.0
2,115.0,1.0,0.0,2021-12-03,0.0,0.0
3,120.0,1.0,0.0,2021-12-03,0.0,0.0
4,125.0,1.0,0.0,2021-12-03,0.0,0.0
5,130.0,1.0,0.0,2021-12-03,0.0,0.0
6,134.5,1.0,0.0,2021-12-03,0.0,0.0
7,135.0,1.0,0.0,2021-12-03,0.0,0.0
8,136.0,1.0,0.0,2021-12-03,0.0,0.0
9,136.5,1.0,0.0,2021-12-03,0.0,0.0
10,137.0,1.0,0.0,2021-12-03,0.0,0.0
11,137.5,1.0,0.0,2021-12-03,0.0,0.0
12,138.0,1.0,0.0,2021-12-03,0.0,0.0
13,138.5,1.0,0.0,2021-12-03,0.0,0.0
14,139.0,1.0,0.0,2021-12-03,0.0,0.0
15,139.5,1.0,0.0,2021-12-03,0.0,0.0
16,140.0,1.0,0.0,2021-12-03,0.0,0.0
17,141.0,1.0,0.0,2021-12-03,0.0,0.0
18,142.0,1.0,0.0,2021-12-03,0.0,0.0
19,142.5,1.0,0.0,2021-12-03,0.0,0.0
20,143.0,1.0,0.0,2021-12-03,0.0,0.0
21,143.5,1.0,0.0,2021-12-03,0.0,0.0
22,144.0,1.0,0.0,2021-12-03,0.0,0.0
23,144.5,1.0,0.0,2021-12-03,0.0,0.0
24,145.0,1.0,0.0,2021-12-03,0.0,0.0
25,145.5,1.0,0.0,2021-12-03,0.0,0.0
26,146.0,1.0,0.0,2021-12-03,0.0,0.0
27,146.5,1.0,0.0,2021-12-03,0.0,0.0
28,147.0,1.0,0.0,2021-12-03,0.0,0.0
29,147.5,1.0,0.0,2021-12-03,0.0,0.0
30,148.0,1.0,0.0,2021-12-03,0.0,0.0
31,148.5,1.0,0.0,2021-12-03,0.0,0.0
32,149.0,1.0,0.0,2021-12-03,0.0,0.0
33,150.0,1.0,0.0,2021-12-03,0.0,0.0
34,151.0,1.0,0.0,2021-12-03,0.0,0.0
35,152.0,1.0,0.0,2021-12-03,0.0,0.0
36,152.5,1.0,0.0,2021-12-03,0.0,0.0
37,153.0,1.0,0.0,2021-12-03,0.0,0.0
38,154.0,1.0,0.0,2021-12-03,0.0,0.0
39,155.0,1.0,0.0,2021-12-03,0.0,0.0
40,156.0,1.0,0.0,2021-12-03,0.0,0.0
41,157.0,1.0,0.0,2021-12-03,0.0,0.0
